train_acc,train_loss,val_acc,val_loss
    0.239,     1.992,  0.300,   1.836
    0.342,     1.713,  0.379,   1.628
    0.384,     1.629,  0.406,   1.645
    0.411,     1.577,  0.409,   1.568
    0.433,     1.539,  0.452,   1.479
    0.450,     1.501,  0.477,   1.434
    0.462,     1.471,  0.481,   1.435
    0.470,     1.453,  0.471,   1.451
    0.483,     1.427,  0.486,   1.425
    0.487,     1.412,  0.495,   1.361
    0.495,     1.393,  0.499,   1.382
    0.503,     1.381,  0.491,   1.417
    0.507,     1.369,  0.492,   1.418
    0.508,     1.367,  0.519,   1.314
    0.514,     1.353,  0.518,   1.315
    0.517,     1.348,  0.519,   1.305
    0.517,     1.340,  0.520,   1.331
    0.522,     1.334,  0.500,   1.403
    0.522,     1.331,  0.518,   1.329
    0.522,     1.332,  0.529,   1.287
    0.525,     1.319,  0.521,   1.299
    0.527,     1.316,  0.507,   1.363
    0.528,     1.316,  0.542,   1.253
    0.532,     1.307,  0.533,   1.290
    0.529,     1.310,  0.523,   1.294
    0.530,     1.305,  0.523,   1.318
    0.536,     1.299,  0.526,   1.316
    0.533,     1.298,  0.458,   1.723
    0.533,     1.297,  0.512,   1.375
    0.536,     1.291,  0.532,   1.262
    0.538,     1.287,  0.534,   1.283
    0.537,     1.288,  0.536,   1.298
    0.537,     1.288,  0.503,   1.424
    0.542,     1.279,  0.538,   1.259
    0.541,     1.280,  0.539,   1.275
    0.542,     1.275,  0.497,   1.483
    0.543,     1.275,  0.537,   1.294
    0.544,     1.274,  0.515,   1.353
    0.545,     1.271,  0.521,   1.325
    0.547,     1.265,  0.551,   1.255
    0.545,     1.267,  0.551,   1.245
    0.547,     1.261,  0.543,   1.255
    0.549,     1.257,  0.558,   1.208
    0.548,     1.260,  0.524,   1.316
    0.548,     1.257,  0.554,   1.225
    0.550,     1.257,  0.534,   1.282
    0.550,     1.254,  0.555,   1.212
    0.553,     1.253,  0.539,   1.269
    0.550,     1.254,  0.550,   1.243
    0.551,     1.254,  0.525,   1.313
    0.553,     1.249,  0.557,   1.213
    0.550,     1.255,  0.549,   1.217
    0.553,     1.246,  0.552,   1.239
    0.552,     1.244,  0.524,   1.337
    0.555,     1.246,  0.552,   1.220
    0.555,     1.244,  0.545,   1.290
    0.551,     1.247,  0.550,   1.246
    0.553,     1.244,  0.545,   1.251
    0.553,     1.241,  0.554,   1.218
    0.555,     1.243,  0.575,   1.192
    0.555,     1.240,  0.554,   1.235
    0.555,     1.239,  0.528,   1.316
    0.556,     1.236,  0.522,   1.329
    0.556,     1.239,  0.550,   1.253
    0.553,     1.245,  0.539,   1.255
    0.553,     1.241,  0.545,   1.246
    0.556,     1.239,  0.540,   1.276
    0.558,     1.234,  0.499,   1.412
    0.557,     1.235,  0.554,   1.214
    0.557,     1.239,  0.506,   1.393
    0.555,     1.238,  0.567,   1.185
    0.553,     1.244,  0.553,   1.210
    0.555,     1.239,  0.572,   1.187
    0.556,     1.237,  0.574,   1.176
    0.556,     1.237,  0.544,   1.250
    0.559,     1.233,  0.554,   1.208
    0.559,     1.234,  0.559,   1.213
    0.559,     1.232,  0.561,   1.193
    0.560,     1.234,  0.550,   1.237
    0.558,     1.230,  0.543,   1.315
    0.576,     1.188,  0.590,   1.128
    0.580,     1.176,  0.596,   1.121
    0.579,     1.176,  0.591,   1.124
    0.580,     1.175,  0.595,   1.118
    0.579,     1.175,  0.591,   1.119
    0.578,     1.175,  0.597,   1.121
    0.584,     1.170,  0.597,   1.119
    0.582,     1.172,  0.600,   1.120
    0.580,     1.171,  0.593,   1.118
    0.581,     1.169,  0.596,   1.114
    0.582,     1.170,  0.594,   1.114
    0.582,     1.171,  0.594,   1.116
    0.581,     1.171,  0.596,   1.110
    0.582,     1.172,  0.595,   1.116
    0.581,     1.171,  0.593,   1.115
    0.582,     1.170,  0.595,   1.108
    0.584,     1.166,  0.592,   1.112
    0.581,     1.169,  0.596,   1.114
    0.582,     1.167,  0.588,   1.128
    0.583,     1.167,  0.593,   1.111
    0.582,     1.167,  0.590,   1.118
    0.582,     1.165,  0.595,   1.108
    0.582,     1.166,  0.590,   1.120
    0.582,     1.165,  0.591,   1.119
    0.584,     1.170,  0.592,   1.117
    0.582,     1.165,  0.592,   1.119
    0.583,     1.165,  0.596,   1.120
    0.582,     1.166,  0.592,   1.114
    0.583,     1.167,  0.592,   1.111
    0.585,     1.161,  0.597,   1.109
    0.581,     1.168,  0.597,   1.111
    0.582,     1.164,  0.596,   1.111
    0.585,     1.164,  0.593,   1.118
    0.583,     1.163,  0.596,   1.107
    0.581,     1.164,  0.598,   1.110
    0.582,     1.165,  0.601,   1.114
    0.583,     1.164,  0.592,   1.126
    0.583,     1.165,  0.597,   1.107
    0.584,     1.160,  0.593,   1.117
    0.584,     1.164,  0.590,   1.121
    0.587,     1.156,  0.597,   1.098
    0.587,     1.153,  0.598,   1.100
    0.588,     1.154,  0.597,   1.100
    0.587,     1.153,  0.598,   1.099
    0.588,     1.152,  0.596,   1.101
    0.586,     1.154,  0.598,   1.099
    0.589,     1.154,  0.598,   1.098
    0.589,     1.152,  0.603,   1.098
    0.588,     1.151,  0.600,   1.098
    0.588,     1.153,  0.598,   1.096
    0.588,     1.154,  0.597,   1.097
    0.588,     1.150,  0.600,   1.098
    0.589,     1.152,  0.599,   1.097
    0.588,     1.153,  0.603,   1.096
    0.587,     1.155,  0.600,   1.098
    0.590,     1.149,  0.602,   1.097
    0.589,     1.151,  0.601,   1.098
    0.588,     1.150,  0.602,   1.096
    0.589,     1.153,  0.603,   1.095
    0.588,     1.153,  0.599,   1.096
    0.589,     1.152,  0.599,   1.098
    0.587,     1.151,  0.600,   1.096
    0.586,     1.151,  0.598,   1.096
    0.588,     1.152,  0.603,   1.097
    0.587,     1.154,  0.600,   1.097
    0.589,     1.153,  0.599,   1.096
    0.589,     1.151,  0.600,   1.097
    0.589,     1.152,  0.599,   1.097
    0.586,     1.153,  0.599,   1.096
    0.590,     1.152,  0.598,   1.097
    0.587,     1.151,  0.597,   1.096
    0.588,     1.153,  0.602,   1.095
    0.590,     1.152,  0.601,   1.096
    0.587,     1.153,  0.599,   1.095
    0.589,     1.151,  0.598,   1.096
    0.588,     1.152,  0.601,   1.096
    0.588,     1.155,  0.603,   1.095
    0.586,     1.153,  0.601,   1.095
