train_acc,train_loss,val_acc,val_loss
    0.256,     1.950,  0.336,   1.729
    0.354,     1.701,  0.392,   1.636
    0.394,     1.616,  0.427,   1.541
    0.432,     1.530,  0.445,   1.471
    0.463,     1.465,  0.438,   1.561
    0.487,     1.407,  0.503,   1.363
    0.507,     1.357,  0.495,   1.404
    0.523,     1.325,  0.485,   1.434
    0.537,     1.291,  0.513,   1.360
    0.544,     1.266,  0.523,   1.332
    0.551,     1.247,  0.528,   1.358
    0.558,     1.226,  0.539,   1.267
    0.567,     1.209,  0.538,   1.289
    0.571,     1.193,  0.511,   1.398
    0.576,     1.179,  0.571,   1.234
    0.579,     1.176,  0.492,   1.458
    0.585,     1.162,  0.558,   1.247
    0.585,     1.154,  0.564,   1.203
    0.590,     1.150,  0.527,   1.348
    0.591,     1.142,  0.518,   1.411
    0.593,     1.132,  0.506,   1.458
    0.594,     1.128,  0.511,   1.394
    0.597,     1.119,  0.503,   1.448
    0.600,     1.114,  0.502,   1.459
    0.603,     1.111,  0.568,   1.244
    0.603,     1.107,  0.521,   1.409
    0.608,     1.099,  0.571,   1.238
    0.605,     1.100,  0.496,   1.510
    0.612,     1.089,  0.548,   1.314
    0.612,     1.090,  0.531,   1.345
    0.612,     1.087,  0.547,   1.308
    0.614,     1.086,  0.579,   1.205
    0.614,     1.080,  0.533,   1.378
    0.615,     1.076,  0.600,   1.112
    0.617,     1.075,  0.545,   1.335
    0.618,     1.074,  0.578,   1.206
    0.617,     1.075,  0.534,   1.386
    0.620,     1.068,  0.533,   1.376
    0.620,     1.068,  0.492,   1.538
    0.620,     1.066,  0.542,   1.379
    0.620,     1.065,  0.586,   1.204
    0.624,     1.062,  0.574,   1.257
    0.622,     1.055,  0.575,   1.250
    0.625,     1.059,  0.569,   1.235
    0.623,     1.059,  0.596,   1.159
    0.626,     1.053,  0.567,   1.282
    0.626,     1.053,  0.569,   1.282
    0.627,     1.051,  0.599,   1.149
    0.626,     1.047,  0.525,   1.430
    0.627,     1.046,  0.542,   1.330
    0.628,     1.046,  0.540,   1.387
    0.631,     1.042,  0.564,   1.258
    0.629,     1.045,  0.577,   1.192
    0.629,     1.039,  0.566,   1.253
    0.629,     1.041,  0.504,   1.532
    0.631,     1.036,  0.526,   1.390
    0.631,     1.035,  0.603,   1.162
    0.632,     1.042,  0.618,   1.125
    0.633,     1.035,  0.582,   1.197
    0.631,     1.037,  0.605,   1.117
    0.631,     1.034,  0.606,   1.118
    0.631,     1.035,  0.605,   1.153
    0.634,     1.029,  0.592,   1.219
    0.634,     1.030,  0.538,   1.338
    0.633,     1.029,  0.566,   1.246
    0.636,     1.027,  0.597,   1.134
    0.635,     1.028,  0.560,   1.265
