train_acc,train_loss,val_acc,val_loss
    0.060,     4.137,  0.099,   3.851
    0.132,     3.650,  0.138,   3.612
    0.186,     3.341,  0.198,   3.269
    0.239,     3.054,  0.228,   3.178
    0.287,     2.788,  0.280,   2.896
    0.329,     2.574,  0.295,   2.847
    0.367,     2.389,  0.327,   2.646
    0.403,     2.233,  0.320,   2.792
    0.430,     2.098,  0.328,   2.699
    0.455,     1.989,  0.347,   2.820
    0.479,     1.887,  0.421,   2.228
    0.500,     1.803,  0.425,   2.215
    0.518,     1.724,  0.439,   2.164
    0.533,     1.663,  0.415,   2.321
    0.549,     1.599,  0.436,   2.249
    0.560,     1.547,  0.473,   2.035
    0.572,     1.498,  0.483,   2.018
    0.583,     1.454,  0.505,   1.874
    0.594,     1.410,  0.478,   2.080
    0.601,     1.377,  0.474,   2.141
    0.614,     1.338,  0.493,   2.007
    0.620,     1.309,  0.462,   2.250
    0.628,     1.278,  0.458,   2.233
    0.637,     1.248,  0.453,   2.411
    0.642,     1.220,  0.427,   2.447
    0.650,     1.193,  0.514,   2.003
    0.653,     1.177,  0.504,   1.984
    0.658,     1.154,  0.496,   2.097
    0.666,     1.135,  0.508,   2.022
    0.672,     1.110,  0.496,   2.166
    0.675,     1.096,  0.512,   2.108
    0.680,     1.071,  0.542,   1.922
    0.687,     1.057,  0.477,   2.248
    0.685,     1.048,  0.541,   1.908
    0.689,     1.032,  0.553,   1.853
    0.701,     1.006,  0.539,   1.861
    0.702,     0.989,  0.529,   1.998
    0.704,     0.987,  0.548,   1.911
    0.707,     0.970,  0.520,   2.051
    0.710,     0.960,  0.542,   1.954
    0.715,     0.936,  0.555,   1.922
    0.718,     0.931,  0.537,   1.986
    0.718,     0.928,  0.532,   2.041
    0.721,     0.910,  0.527,   2.054
    0.725,     0.899,  0.547,   1.896
    0.725,     0.894,  0.564,   1.822
    0.731,     0.883,  0.509,   2.262
    0.730,     0.882,  0.544,   1.963
    0.734,     0.869,  0.520,   2.129
    0.738,     0.864,  0.569,   1.898
    0.737,     0.849,  0.529,   2.117
    0.737,     0.851,  0.530,   2.088
    0.742,     0.839,  0.563,   1.935
    0.748,     0.819,  0.573,   1.826
    0.748,     0.819,  0.518,   2.286
    0.746,     0.820,  0.544,   2.097
    0.749,     0.818,  0.547,   1.988
    0.752,     0.801,  0.541,   2.117
    0.754,     0.795,  0.544,   2.174
    0.754,     0.794,  0.558,   1.986
    0.758,     0.779,  0.536,   2.109
    0.759,     0.774,  0.570,   1.991
    0.758,     0.781,  0.538,   2.261
    0.765,     0.762,  0.548,   2.156
    0.761,     0.773,  0.546,   2.164
    0.764,     0.763,  0.526,   2.325
    0.763,     0.761,  0.543,   2.119
    0.765,     0.755,  0.559,   2.094
    0.768,     0.751,  0.553,   2.106
    0.768,     0.743,  0.534,   2.270
    0.770,     0.736,  0.550,   2.100
    0.768,     0.743,  0.545,   2.134
    0.772,     0.731,  0.523,   2.298
    0.772,     0.730,  0.527,   2.305
    0.772,     0.724,  0.558,   2.173
    0.775,     0.723,  0.560,   2.132
    0.775,     0.726,  0.520,   2.348
    0.775,     0.719,  0.548,   2.066
    0.778,     0.709,  0.553,   2.059
    0.779,     0.705,  0.555,   2.116
    0.851,     0.482,  0.674,   1.426
    0.881,     0.380,  0.682,   1.448
    0.890,     0.344,  0.685,   1.467
    0.900,     0.318,  0.684,   1.496
    0.904,     0.302,  0.685,   1.523
    0.909,     0.279,  0.680,   1.540
    0.916,     0.268,  0.679,   1.568
    0.919,     0.257,  0.686,   1.580
    0.923,     0.243,  0.685,   1.605
    0.928,     0.231,  0.687,   1.602
    0.930,     0.222,  0.677,   1.658
    0.932,     0.214,  0.686,   1.651
    0.936,     0.202,  0.681,   1.707
    0.938,     0.196,  0.680,   1.710
    0.939,     0.191,  0.684,   1.718
    0.943,     0.183,  0.678,   1.771
    0.945,     0.175,  0.679,   1.785
    0.947,     0.172,  0.677,   1.806
    0.949,     0.163,  0.680,   1.826
    0.949,     0.160,  0.680,   1.831
    0.951,     0.155,  0.674,   1.866
    0.953,     0.151,  0.681,   1.886
    0.955,     0.147,  0.681,   1.900
    0.955,     0.140,  0.680,   1.925
    0.957,     0.136,  0.680,   1.925
    0.959,     0.131,  0.680,   1.974
    0.960,     0.127,  0.675,   1.980
    0.962,     0.123,  0.679,   1.994
    0.962,     0.121,  0.677,   2.005
    0.963,     0.119,  0.679,   2.029
    0.963,     0.120,  0.679,   2.051
    0.965,     0.115,  0.675,   2.056
    0.965,     0.113,  0.677,   2.070
    0.966,     0.111,  0.671,   2.115
    0.968,     0.104,  0.672,   2.102
    0.968,     0.104,  0.678,   2.118
    0.970,     0.100,  0.674,   2.116
    0.969,     0.099,  0.673,   2.153
    0.970,     0.097,  0.678,   2.162
    0.971,     0.094,  0.672,   2.179
    0.976,     0.082,  0.682,   2.098
    0.979,     0.075,  0.686,   2.103
    0.981,     0.069,  0.687,   2.092
    0.981,     0.068,  0.686,   2.104
    0.982,     0.066,  0.687,   2.109
    0.982,     0.067,  0.685,   2.112
    0.983,     0.063,  0.685,   2.111
    0.984,     0.063,  0.683,   2.118
    0.984,     0.061,  0.684,   2.122
    0.983,     0.062,  0.683,   2.132
    0.983,     0.061,  0.683,   2.127
    0.984,     0.060,  0.685,   2.130
    0.983,     0.061,  0.684,   2.129
    0.985,     0.058,  0.683,   2.139
    0.985,     0.059,  0.681,   2.135
    0.985,     0.058,  0.682,   2.143
    0.986,     0.056,  0.682,   2.147
    0.985,     0.058,  0.680,   2.147
    0.985,     0.057,  0.684,   2.150
    0.985,     0.057,  0.684,   2.143
    0.986,     0.057,  0.684,   2.157
    0.986,     0.055,  0.685,   2.153
    0.986,     0.055,  0.683,   2.156
    0.986,     0.053,  0.682,   2.166
    0.986,     0.053,  0.684,   2.167
    0.986,     0.053,  0.682,   2.171
    0.986,     0.054,  0.685,   2.168
    0.987,     0.052,  0.685,   2.168
    0.988,     0.050,  0.683,   2.176
    0.987,     0.053,  0.683,   2.178
    0.988,     0.050,  0.682,   2.177
    0.987,     0.052,  0.684,   2.179
    0.988,     0.051,  0.684,   2.187
    0.987,     0.051,  0.682,   2.193
    0.987,     0.052,  0.684,   2.192
    0.987,     0.050,  0.683,   2.193
    0.987,     0.051,  0.685,   2.196
    0.988,     0.049,  0.683,   2.200
    0.988,     0.050,  0.682,   2.204
    0.988,     0.050,  0.683,   2.205
