train_acc,train_loss,val_acc,val_loss
    0.280,     1.932,  0.367,   1.722
    0.374,     1.671,  0.401,   1.619
    0.416,     1.576,  0.454,   1.513
    0.445,     1.508,  0.450,   1.529
    0.468,     1.458,  0.473,   1.471
    0.480,     1.418,  0.465,   1.460
    0.500,     1.381,  0.512,   1.402
    0.512,     1.352,  0.487,   1.419
    0.521,     1.327,  0.494,   1.405
    0.529,     1.308,  0.489,   1.468
    0.535,     1.290,  0.520,   1.337
    0.541,     1.278,  0.514,   1.350
    0.547,     1.261,  0.526,   1.380
    0.549,     1.255,  0.502,   1.373
    0.555,     1.241,  0.549,   1.264
    0.560,     1.226,  0.554,   1.300
    0.566,     1.213,  0.542,   1.287
    0.569,     1.205,  0.563,   1.238
    0.571,     1.198,  0.566,   1.214
    0.573,     1.189,  0.555,   1.249
    0.578,     1.179,  0.580,   1.189
    0.578,     1.170,  0.585,   1.168
    0.580,     1.164,  0.594,   1.145
    0.585,     1.161,  0.541,   1.308
    0.585,     1.154,  0.557,   1.242
    0.587,     1.148,  0.584,   1.155
    0.591,     1.145,  0.567,   1.215
    0.591,     1.144,  0.558,   1.235
    0.594,     1.133,  0.571,   1.182
    0.594,     1.133,  0.592,   1.206
    0.598,     1.129,  0.605,   1.129
    0.598,     1.120,  0.607,   1.130
    0.602,     1.114,  0.579,   1.169
    0.602,     1.110,  0.604,   1.107
    0.601,     1.107,  0.610,   1.111
    0.605,     1.102,  0.579,   1.229
    0.607,     1.104,  0.582,   1.185
    0.610,     1.095,  0.605,   1.121
    0.608,     1.092,  0.583,   1.179
    0.614,     1.085,  0.616,   1.083
    0.611,     1.085,  0.607,   1.115
    0.614,     1.083,  0.620,   1.100
    0.615,     1.079,  0.622,   1.084
    0.616,     1.075,  0.620,   1.073
    0.617,     1.075,  0.629,   1.048
    0.616,     1.072,  0.620,   1.090
    0.619,     1.066,  0.633,   1.061
    0.620,     1.066,  0.613,   1.119
    0.620,     1.060,  0.631,   1.068
    0.618,     1.065,  0.633,   1.055
    0.623,     1.056,  0.632,   1.061
    0.624,     1.056,  0.629,   1.079
    0.625,     1.056,  0.624,   1.059
    0.626,     1.049,  0.634,   1.061
    0.626,     1.044,  0.637,   1.031
    0.626,     1.047,  0.628,   1.053
    0.626,     1.045,  0.633,   1.071
    0.628,     1.042,  0.645,   1.013
    0.629,     1.040,  0.638,   1.033
    0.629,     1.036,  0.630,   1.042
    0.632,     1.033,  0.641,   1.019
    0.629,     1.036,  0.635,   1.055
    0.632,     1.032,  0.633,   1.064
    0.634,     1.026,  0.632,   1.060
    0.632,     1.031,  0.644,   1.026
    0.634,     1.027,  0.642,   1.023
    0.634,     1.023,  0.644,   1.018
    0.635,     1.022,  0.644,   1.000
    0.634,     1.020,  0.646,   1.012
    0.638,     1.019,  0.630,   1.038
    0.637,     1.023,  0.647,   1.010
    0.637,     1.015,  0.651,   1.020
    0.640,     1.014,  0.658,   0.985
    0.641,     1.011,  0.636,   1.026
    0.639,     1.017,  0.637,   1.031
    0.638,     1.012,  0.646,   1.010
    0.643,     1.004,  0.648,   1.008
    0.644,     1.003,  0.651,   0.989
    0.643,     1.005,  0.647,   1.018
    0.643,     1.002,  0.654,   0.994
    0.654,     0.975,  0.674,   0.942
    0.655,     0.967,  0.671,   0.939
    0.659,     0.966,  0.675,   0.940
