train_acc,train_loss,val_acc,val_loss
    0.126,     2.313,  0.162,   2.172
    0.256,     1.902,  0.276,   1.964
    0.341,     1.722,  0.391,   1.597
    0.400,     1.588,  0.365,   1.679
    0.443,     1.489,  0.448,   1.452
    0.476,     1.407,  0.496,   1.379
    0.511,     1.330,  0.495,   1.377
    0.551,     1.237,  0.550,   1.258
    0.592,     1.138,  0.621,   1.075
    0.633,     1.035,  0.608,   1.114
    0.672,     0.931,  0.585,   1.219
    0.699,     0.862,  0.688,   0.923
    0.726,     0.790,  0.633,   1.094
    0.743,     0.740,  0.683,   0.966
    0.761,     0.694,  0.747,   0.742
    0.772,     0.662,  0.717,   0.867
    0.785,     0.624,  0.715,   0.885
    0.795,     0.599,  0.709,   0.917
    0.800,     0.579,  0.640,   1.338
    0.810,     0.550,  0.715,   0.943
    0.820,     0.523,  0.743,   0.814
    0.825,     0.510,  0.756,   0.784
    0.832,     0.488,  0.770,   0.733
    0.836,     0.475,  0.760,   0.826
    0.844,     0.457,  0.748,   0.851
    0.847,     0.444,  0.754,   0.806
    0.849,     0.439,  0.799,   0.642
    0.859,     0.417,  0.730,   0.956
    0.859,     0.412,  0.770,   0.767
    0.862,     0.400,  0.784,   0.750
    0.864,     0.390,  0.729,   0.991
    0.869,     0.377,  0.795,   0.720
    0.873,     0.367,  0.826,   0.577
    0.875,     0.362,  0.749,   0.904
    0.880,     0.352,  0.799,   0.696
    0.882,     0.344,  0.796,   0.715
    0.886,     0.331,  0.808,   0.645
    0.889,     0.320,  0.813,   0.667
    0.888,     0.322,  0.800,   0.675
    0.893,     0.306,  0.811,   0.639
    0.894,     0.306,  0.806,   0.653
    0.896,     0.297,  0.816,   0.590
    0.896,     0.304,  0.832,   0.571
    0.899,     0.292,  0.823,   0.602
    0.900,     0.291,  0.791,   0.730
    0.902,     0.278,  0.848,   0.509
    0.904,     0.276,  0.810,   0.675
    0.907,     0.272,  0.814,   0.622
    0.907,     0.269,  0.836,   0.549
    0.911,     0.259,  0.821,   0.633
    0.911,     0.257,  0.844,   0.538
    0.912,     0.253,  0.833,   0.567
    0.914,     0.249,  0.827,   0.585
    0.915,     0.247,  0.845,   0.545
    0.916,     0.238,  0.825,   0.630
    0.918,     0.237,  0.852,   0.498
    0.918,     0.234,  0.839,   0.566
    0.921,     0.228,  0.810,   0.709
    0.922,     0.224,  0.847,   0.543
    0.922,     0.223,  0.863,   0.481
    0.923,     0.222,  0.818,   0.661
    0.925,     0.219,  0.814,   0.700
    0.926,     0.212,  0.838,   0.597
    0.927,     0.213,  0.840,   0.540
    0.928,     0.207,  0.837,   0.578
    0.928,     0.204,  0.856,   0.519
    0.928,     0.209,  0.825,   0.663
    0.931,     0.201,  0.861,   0.440
    0.930,     0.199,  0.848,   0.549
    0.932,     0.192,  0.853,   0.529
    0.934,     0.196,  0.815,   0.710
    0.930,     0.198,  0.851,   0.507
    0.932,     0.200,  0.850,   0.516
    0.933,     0.189,  0.803,   0.753
    0.935,     0.191,  0.835,   0.629
    0.936,     0.184,  0.848,   0.556
    0.936,     0.183,  0.841,   0.588
    0.939,     0.177,  0.834,   0.633
    0.938,     0.179,  0.827,   0.692
    0.937,     0.184,  0.831,   0.651
    0.937,     0.181,  0.844,   0.553
    0.968,     0.092,  0.912,   0.316
    0.979,     0.064,  0.916,   0.309
    0.982,     0.054,  0.919,   0.316
    0.984,     0.048,  0.919,   0.325
    0.986,     0.042,  0.916,   0.332
    0.988,     0.037,  0.917,   0.353
    0.989,     0.033,  0.918,   0.357
    0.990,     0.030,  0.918,   0.356
    0.991,     0.029,  0.918,   0.357
    0.992,     0.025,  0.918,   0.373
    0.993,     0.023,  0.916,   0.395
    0.994,     0.021,  0.917,   0.399
    0.994,     0.021,  0.917,   0.396
    0.994,     0.019,  0.916,   0.409
    0.995,     0.017,  0.919,   0.409
    0.995,     0.016,  0.916,   0.414
    0.996,     0.013,  0.917,   0.432
    0.996,     0.014,  0.915,   0.448
    0.996,     0.013,  0.916,   0.457
    0.996,     0.012,  0.915,   0.452
    0.997,     0.011,  0.919,   0.437
    0.996,     0.012,  0.921,   0.425
    0.997,     0.010,  0.918,   0.442
    0.997,     0.011,  0.916,   0.457
    0.997,     0.011,  0.918,   0.468
    0.997,     0.010,  0.917,   0.449
    0.997,     0.009,  0.915,   0.468
    0.997,     0.009,  0.919,   0.466
    0.998,     0.008,  0.918,   0.469
    0.997,     0.009,  0.917,   0.470
    0.998,     0.008,  0.918,   0.467
    0.998,     0.007,  0.921,   0.482
    0.998,     0.007,  0.916,   0.502
    0.998,     0.008,  0.917,   0.492
    0.998,     0.007,  0.919,   0.490
    0.998,     0.008,  0.915,   0.497
    0.998,     0.007,  0.918,   0.500
    0.998,     0.006,  0.917,   0.494
    0.998,     0.005,  0.920,   0.495
    0.999,     0.005,  0.919,   0.496
    0.999,     0.005,  0.922,   0.483
    0.999,     0.004,  0.922,   0.483
    0.999,     0.004,  0.920,   0.483
    0.999,     0.004,  0.921,   0.485
    0.999,     0.003,  0.921,   0.483
    0.999,     0.004,  0.921,   0.480
    0.999,     0.003,  0.921,   0.481
    0.999,     0.003,  0.920,   0.485
    0.999,     0.004,  0.921,   0.483
    0.999,     0.004,  0.920,   0.488
    0.999,     0.003,  0.922,   0.487
    0.999,     0.003,  0.922,   0.484
    0.999,     0.003,  0.922,   0.486
    1.000,     0.003,  0.921,   0.488
    0.999,     0.003,  0.920,   0.487
    0.999,     0.003,  0.921,   0.486
    0.999,     0.003,  0.921,   0.489
    0.999,     0.003,  0.920,   0.492
    0.999,     0.003,  0.920,   0.489
    0.999,     0.003,  0.921,   0.490
    0.999,     0.003,  0.922,   0.487
    0.999,     0.003,  0.921,   0.493
    0.999,     0.003,  0.921,   0.493
    0.999,     0.003,  0.921,   0.491
    0.999,     0.002,  0.922,   0.492
    1.000,     0.002,  0.921,   0.494
    0.999,     0.003,  0.922,   0.497
    0.999,     0.002,  0.923,   0.491
    0.999,     0.003,  0.922,   0.496
    1.000,     0.002,  0.922,   0.492
    1.000,     0.002,  0.923,   0.494
    0.999,     0.002,  0.921,   0.497
    1.000,     0.003,  0.921,   0.494
    1.000,     0.002,  0.921,   0.498
    0.999,     0.002,  0.922,   0.494
    1.000,     0.002,  0.921,   0.497
    1.000,     0.002,  0.922,   0.495
    0.999,     0.002,  0.922,   0.495
    1.000,     0.002,  0.921,   0.498
