train_acc,train_loss,val_acc,val_loss
    0.372,     1.702,  0.490,   1.485
    0.579,     1.164,  0.591,   1.218
    0.670,     0.923,  0.655,   0.994
    0.726,     0.778,  0.717,   0.846
    0.760,     0.685,  0.722,   0.862
    0.783,     0.623,  0.696,   1.013
    0.803,     0.571,  0.784,   0.657
    0.815,     0.529,  0.784,   0.635
    0.827,     0.497,  0.817,   0.535
    0.838,     0.465,  0.805,   0.597
    0.846,     0.440,  0.793,   0.656
    0.854,     0.419,  0.811,   0.572
    0.862,     0.403,  0.822,   0.555
    0.866,     0.385,  0.828,   0.545
    0.872,     0.371,  0.801,   0.664
    0.878,     0.355,  0.841,   0.495
    0.880,     0.343,  0.829,   0.573
    0.888,     0.325,  0.848,   0.474
    0.889,     0.318,  0.842,   0.529
    0.892,     0.312,  0.854,   0.473
    0.895,     0.300,  0.840,   0.506
    0.897,     0.293,  0.833,   0.575
    0.901,     0.284,  0.820,   0.592
    0.904,     0.277,  0.845,   0.533
    0.905,     0.273,  0.857,   0.459
    0.907,     0.265,  0.820,   0.656
    0.911,     0.256,  0.849,   0.499
    0.913,     0.250,  0.857,   0.460
    0.913,     0.247,  0.862,   0.479
    0.918,     0.236,  0.862,   0.469
    0.918,     0.235,  0.850,   0.526
    0.921,     0.227,  0.855,   0.502
    0.923,     0.225,  0.863,   0.444
    0.923,     0.217,  0.869,   0.459
    0.924,     0.218,  0.875,   0.429
    0.924,     0.211,  0.867,   0.483
    0.925,     0.214,  0.862,   0.473
    0.926,     0.208,  0.874,   0.428
    0.930,     0.198,  0.857,   0.513
    0.930,     0.197,  0.858,   0.488
    0.931,     0.198,  0.865,   0.459
    0.931,     0.195,  0.871,   0.429
    0.932,     0.192,  0.863,   0.466
    0.934,     0.186,  0.859,   0.478
    0.933,     0.189,  0.875,   0.439
    0.937,     0.179,  0.877,   0.454
    0.937,     0.179,  0.857,   0.552
    0.937,     0.181,  0.872,   0.464
    0.940,     0.172,  0.873,   0.508
    0.939,     0.173,  0.868,   0.522
    0.939,     0.175,  0.863,   0.483
    0.939,     0.171,  0.871,   0.476
    0.941,     0.168,  0.875,   0.450
    0.940,     0.167,  0.880,   0.432
    0.940,     0.171,  0.878,   0.420
    0.942,     0.163,  0.873,   0.457
    0.944,     0.159,  0.881,   0.419
    0.946,     0.154,  0.885,   0.419
    0.943,     0.160,  0.869,   0.471
    0.944,     0.160,  0.879,   0.439
    0.945,     0.153,  0.867,   0.507
    0.947,     0.150,  0.872,   0.475
    0.947,     0.152,  0.882,   0.462
    0.946,     0.156,  0.876,   0.459
    0.947,     0.151,  0.863,   0.524
    0.948,     0.149,  0.869,   0.462
    0.947,     0.149,  0.857,   0.527
    0.949,     0.143,  0.871,   0.495
    0.947,     0.149,  0.874,   0.459
    0.949,     0.143,  0.883,   0.432
    0.949,     0.145,  0.864,   0.521
    0.951,     0.138,  0.879,   0.454
    0.950,     0.145,  0.888,   0.407
    0.952,     0.137,  0.878,   0.490
    0.949,     0.143,  0.867,   0.485
    0.952,     0.139,  0.878,   0.484
    0.950,     0.143,  0.885,   0.450
    0.952,     0.135,  0.879,   0.460
