train_acc,train_loss,val_acc,val_loss
    0.362,     1.707,  0.451,   1.534
    0.548,     1.245,  0.559,   1.241
    0.650,     0.979,  0.644,   1.059
    0.716,     0.805,  0.650,   1.065
    0.758,     0.692,  0.695,   0.978
    0.785,     0.621,  0.746,   0.779
    0.802,     0.569,  0.760,   0.746
    0.820,     0.525,  0.777,   0.664
    0.830,     0.490,  0.780,   0.652
    0.839,     0.463,  0.794,   0.606
    0.847,     0.442,  0.797,   0.595
    0.856,     0.415,  0.809,   0.587
    0.862,     0.403,  0.788,   0.667
    0.867,     0.385,  0.833,   0.499
    0.870,     0.375,  0.826,   0.563
    0.878,     0.354,  0.809,   0.590
    0.882,     0.340,  0.813,   0.605
    0.887,     0.330,  0.813,   0.644
    0.886,     0.329,  0.838,   0.518
    0.891,     0.315,  0.825,   0.546
    0.894,     0.304,  0.834,   0.520
    0.897,     0.300,  0.837,   0.505
    0.898,     0.292,  0.808,   0.641
    0.901,     0.284,  0.844,   0.520
    0.904,     0.276,  0.843,   0.500
    0.906,     0.269,  0.820,   0.574
    0.910,     0.262,  0.861,   0.424
    0.909,     0.261,  0.823,   0.574
    0.908,     0.262,  0.818,   0.625
    0.915,     0.245,  0.857,   0.462
    0.915,     0.244,  0.858,   0.452
    0.917,     0.238,  0.815,   0.641
    0.917,     0.237,  0.832,   0.567
    0.919,     0.233,  0.842,   0.545
    0.919,     0.233,  0.859,   0.455
    0.919,     0.228,  0.821,   0.636
    0.921,     0.225,  0.845,   0.518
    0.923,     0.220,  0.863,   0.463
    0.925,     0.214,  0.834,   0.578
    0.924,     0.213,  0.855,   0.489
    0.927,     0.209,  0.861,   0.458
    0.926,     0.209,  0.847,   0.508
    0.928,     0.205,  0.819,   0.669
    0.929,     0.202,  0.830,   0.581
    0.929,     0.201,  0.847,   0.531
    0.932,     0.194,  0.864,   0.452
    0.931,     0.195,  0.855,   0.495
    0.930,     0.198,  0.861,   0.451
    0.934,     0.189,  0.851,   0.536
    0.932,     0.190,  0.857,   0.533
    0.934,     0.188,  0.853,   0.560
    0.934,     0.186,  0.851,   0.508
    0.935,     0.187,  0.848,   0.551
    0.937,     0.180,  0.846,   0.535
    0.936,     0.180,  0.865,   0.453
    0.936,     0.179,  0.870,   0.468
    0.938,     0.178,  0.831,   0.657
    0.936,     0.183,  0.846,   0.558
    0.939,     0.172,  0.837,   0.613
    0.939,     0.172,  0.847,   0.527
    0.940,     0.169,  0.842,   0.582
    0.938,     0.176,  0.854,   0.514
    0.938,     0.172,  0.853,   0.533
    0.939,     0.167,  0.840,   0.584
    0.942,     0.164,  0.863,   0.501
    0.943,     0.163,  0.865,   0.484
    0.940,     0.169,  0.860,   0.475
    0.941,     0.170,  0.833,   0.605
    0.943,     0.162,  0.840,   0.594
    0.943,     0.165,  0.863,   0.486
    0.942,     0.165,  0.855,   0.502
    0.943,     0.161,  0.854,   0.520
    0.943,     0.162,  0.873,   0.432
    0.942,     0.163,  0.855,   0.520
    0.945,     0.159,  0.875,   0.481
    0.943,     0.160,  0.863,   0.462
    0.943,     0.160,  0.868,   0.505
    0.946,     0.152,  0.848,   0.583
    0.943,     0.159,  0.859,   0.499
    0.943,     0.159,  0.866,   0.466
    0.969,     0.092,  0.913,   0.289
    0.981,     0.058,  0.915,   0.296
    0.985,     0.049,  0.916,   0.300
    0.987,     0.042,  0.915,   0.305
    0.988,     0.037,  0.916,   0.305
    0.989,     0.034,  0.916,   0.320
    0.991,     0.030,  0.916,   0.325
    0.992,     0.027,  0.917,   0.327
    0.992,     0.025,  0.916,   0.334
    0.993,     0.024,  0.918,   0.338
    0.994,     0.021,  0.915,   0.348
    0.995,     0.019,  0.916,   0.341
    0.994,     0.019,  0.916,   0.347
    0.994,     0.019,  0.919,   0.356
    0.996,     0.016,  0.919,   0.359
    0.996,     0.015,  0.916,   0.357
    0.996,     0.014,  0.918,   0.361
    0.997,     0.013,  0.918,   0.364
    0.997,     0.012,  0.919,   0.373
    0.997,     0.012,  0.917,   0.378
    0.997,     0.011,  0.919,   0.378
    0.997,     0.011,  0.920,   0.382
    0.997,     0.011,  0.918,   0.379
    0.997,     0.011,  0.919,   0.379
    0.997,     0.010,  0.921,   0.383
    0.998,     0.010,  0.919,   0.389
    0.998,     0.009,  0.919,   0.390
    0.998,     0.008,  0.920,   0.388
    0.998,     0.009,  0.921,   0.382
    0.998,     0.008,  0.920,   0.390
    0.999,     0.007,  0.918,   0.396
    0.998,     0.008,  0.918,   0.407
    0.998,     0.007,  0.918,   0.393
    0.998,     0.007,  0.920,   0.394
    0.998,     0.008,  0.919,   0.396
    0.998,     0.007,  0.916,   0.414
    0.998,     0.007,  0.920,   0.405
    0.998,     0.007,  0.918,   0.397
    0.999,     0.006,  0.919,   0.406
    0.999,     0.006,  0.920,   0.410
    0.999,     0.005,  0.919,   0.407
    0.999,     0.005,  0.919,   0.405
    0.999,     0.005,  0.919,   0.404
    0.999,     0.005,  0.919,   0.404
    0.999,     0.005,  0.918,   0.404
    0.999,     0.004,  0.919,   0.403
    0.999,     0.005,  0.920,   0.401
    0.999,     0.005,  0.920,   0.402
    0.999,     0.004,  0.919,   0.400
    0.999,     0.004,  0.920,   0.401
    0.999,     0.004,  0.919,   0.400
    0.999,     0.004,  0.920,   0.402
    0.999,     0.004,  0.919,   0.401
    0.999,     0.004,  0.919,   0.403
    0.999,     0.004,  0.919,   0.401
    0.999,     0.004,  0.921,   0.404
    0.999,     0.004,  0.919,   0.405
    0.999,     0.004,  0.919,   0.403
    0.999,     0.004,  0.920,   0.402
    0.999,     0.004,  0.920,   0.402
    0.999,     0.004,  0.919,   0.404
    0.999,     0.004,  0.920,   0.402
    0.999,     0.004,  0.920,   0.405
    0.999,     0.004,  0.919,   0.405
    0.999,     0.004,  0.920,   0.402
    0.999,     0.004,  0.920,   0.404
    0.999,     0.004,  0.921,   0.404
    0.999,     0.004,  0.920,   0.403
    0.999,     0.004,  0.919,   0.402
    0.999,     0.004,  0.919,   0.403
    0.999,     0.004,  0.920,   0.404
    1.000,     0.003,  0.921,   0.404
    0.999,     0.004,  0.920,   0.403
    1.000,     0.003,  0.921,   0.404
    0.999,     0.004,  0.921,   0.405
    1.000,     0.004,  0.921,   0.403
    0.999,     0.004,  0.920,   0.403
    0.999,     0.004,  0.919,   0.403
    0.999,     0.004,  0.919,   0.404
    0.999,     0.003,  0.920,   0.407
