train_acc,train_loss,val_acc,val_loss
    0.243,     1.985,  0.299,   1.949
    0.392,     1.619,  0.399,   1.611
    0.493,     1.398,  0.523,   1.319
    0.577,     1.183,  0.523,   1.407
    0.632,     1.027,  0.549,   1.399
    0.686,     0.891,  0.606,   1.179
    0.720,     0.800,  0.649,   1.085
    0.747,     0.723,  0.602,   1.316
    0.769,     0.667,  0.723,   0.890
    0.783,     0.626,  0.679,   1.036
    0.796,     0.589,  0.716,   0.921
    0.810,     0.550,  0.713,   1.009
    0.819,     0.526,  0.701,   0.979
    0.825,     0.500,  0.775,   0.696
    0.838,     0.475,  0.792,   0.632
    0.841,     0.456,  0.756,   0.788
    0.849,     0.439,  0.718,   0.938
    0.854,     0.420,  0.735,   0.940
    0.858,     0.406,  0.801,   0.634
    0.866,     0.391,  0.799,   0.640
    0.870,     0.376,  0.757,   0.800
    0.873,     0.370,  0.742,   0.943
    0.875,     0.358,  0.787,   0.696
    0.880,     0.346,  0.780,   0.780
    0.884,     0.332,  0.820,   0.593
    0.885,     0.329,  0.783,   0.760
    0.889,     0.319,  0.769,   0.863
    0.894,     0.306,  0.827,   0.589
    0.895,     0.303,  0.795,   0.731
    0.899,     0.297,  0.825,   0.599
    0.899,     0.290,  0.767,   0.875
    0.903,     0.280,  0.790,   0.753
    0.905,     0.273,  0.821,   0.617
    0.907,     0.270,  0.865,   0.453
    0.907,     0.266,  0.828,   0.587
    0.910,     0.257,  0.787,   0.840
    0.912,     0.255,  0.817,   0.660
    0.914,     0.246,  0.855,   0.481
    0.914,     0.248,  0.839,   0.577
    0.916,     0.241,  0.838,   0.552
    0.919,     0.235,  0.859,   0.467
    0.920,     0.231,  0.853,   0.487
    0.921,     0.228,  0.853,   0.513
    0.923,     0.223,  0.801,   0.744
    0.922,     0.224,  0.735,   1.076
    0.924,     0.216,  0.863,   0.459
    0.925,     0.214,  0.850,   0.515
    0.928,     0.206,  0.860,   0.514
    0.926,     0.210,  0.843,   0.549
    0.929,     0.201,  0.867,   0.467
    0.929,     0.205,  0.841,   0.585
    0.932,     0.195,  0.854,   0.471
    0.933,     0.193,  0.822,   0.729
    0.933,     0.193,  0.835,   0.617
    0.932,     0.191,  0.806,   0.723
    0.934,     0.187,  0.822,   0.797
    0.934,     0.190,  0.867,   0.450
    0.935,     0.187,  0.880,   0.404
    0.934,     0.189,  0.850,   0.540
    0.937,     0.180,  0.865,   0.535
    0.937,     0.182,  0.859,   0.504
    0.936,     0.182,  0.861,   0.511
    0.939,     0.174,  0.870,   0.455
    0.937,     0.181,  0.866,   0.533
    0.939,     0.174,  0.875,   0.476
    0.940,     0.172,  0.869,   0.464
    0.940,     0.171,  0.850,   0.564
    0.941,     0.170,  0.859,   0.527
    0.938,     0.175,  0.872,   0.423
    0.943,     0.164,  0.877,   0.439
    0.941,     0.167,  0.868,   0.488
    0.943,     0.162,  0.867,   0.478
    0.942,     0.163,  0.878,   0.471
    0.945,     0.158,  0.872,   0.473
    0.943,     0.163,  0.851,   0.641
    0.944,     0.159,  0.883,   0.454
    0.945,     0.158,  0.853,   0.522
    0.946,     0.152,  0.828,   0.688
    0.946,     0.156,  0.882,   0.437
    0.947,     0.154,  0.840,   0.656
    0.973,     0.077,  0.916,   0.306
    0.984,     0.048,  0.918,   0.323
    0.986,     0.041,  0.923,   0.326
    0.988,     0.035,  0.922,   0.332
    0.989,     0.033,  0.922,   0.332
    0.992,     0.026,  0.921,   0.345
    0.992,     0.023,  0.925,   0.349
    0.993,     0.021,  0.925,   0.358
    0.993,     0.020,  0.921,   0.361
    0.994,     0.018,  0.925,   0.361
    0.995,     0.015,  0.923,   0.377
    0.995,     0.016,  0.926,   0.375
    0.996,     0.014,  0.925,   0.381
    0.996,     0.013,  0.926,   0.393
    0.997,     0.011,  0.923,   0.395
    0.996,     0.011,  0.928,   0.396
    0.997,     0.010,  0.927,   0.400
    0.997,     0.010,  0.924,   0.414
    0.997,     0.010,  0.922,   0.411
    0.998,     0.008,  0.927,   0.415
    0.998,     0.007,  0.921,   0.428
    0.998,     0.008,  0.928,   0.409
    0.998,     0.008,  0.928,   0.416
    0.998,     0.008,  0.924,   0.426
    0.998,     0.007,  0.924,   0.431
    0.998,     0.006,  0.927,   0.430
    0.998,     0.007,  0.926,   0.440
    0.998,     0.006,  0.927,   0.438
    0.998,     0.007,  0.924,   0.449
    0.998,     0.006,  0.923,   0.445
    0.998,     0.006,  0.925,   0.452
    0.998,     0.006,  0.926,   0.454
    0.999,     0.005,  0.926,   0.455
    0.999,     0.005,  0.926,   0.453
    0.999,     0.005,  0.927,   0.460
    0.999,     0.005,  0.925,   0.451
    0.999,     0.005,  0.924,   0.487
    0.999,     0.005,  0.922,   0.470
    0.999,     0.004,  0.924,   0.479
    0.999,     0.004,  0.922,   0.475
    0.999,     0.003,  0.927,   0.466
    0.999,     0.003,  0.927,   0.468
    0.999,     0.003,  0.927,   0.463
    0.999,     0.003,  0.927,   0.463
    0.999,     0.003,  0.927,   0.461
    0.999,     0.003,  0.927,   0.458
    0.999,     0.003,  0.927,   0.459
    0.999,     0.003,  0.927,   0.461
    1.000,     0.003,  0.926,   0.460
