train_acc,train_loss,val_acc,val_loss
    0.258,     2.007,  0.310,   1.838
    0.345,     1.744,  0.368,   1.680
    0.384,     1.651,  0.405,   1.593
    0.413,     1.582,  0.398,   1.582
    0.433,     1.532,  0.393,   1.643
    0.444,     1.505,  0.429,   1.533
    0.456,     1.481,  0.465,   1.446
    0.463,     1.462,  0.473,   1.424
    0.470,     1.444,  0.454,   1.515
    0.479,     1.424,  0.474,   1.473
    0.484,     1.410,  0.470,   1.503
    0.493,     1.391,  0.504,   1.361
    0.500,     1.380,  0.482,   1.449
    0.504,     1.369,  0.502,   1.361
    0.507,     1.357,  0.500,   1.385
    0.515,     1.345,  0.507,   1.343
    0.518,     1.335,  0.514,   1.343
    0.521,     1.328,  0.532,   1.283
    0.523,     1.321,  0.511,   1.341
    0.524,     1.312,  0.520,   1.343
    0.531,     1.303,  0.500,   1.407
    0.530,     1.301,  0.470,   1.489
    0.534,     1.293,  0.529,   1.312
    0.538,     1.285,  0.498,   1.394
    0.536,     1.282,  0.546,   1.241
    0.541,     1.280,  0.526,   1.333
    0.544,     1.275,  0.521,   1.340
    0.544,     1.267,  0.526,   1.371
    0.546,     1.263,  0.529,   1.317
    0.546,     1.259,  0.540,   1.295
    0.545,     1.259,  0.563,   1.217
    0.547,     1.253,  0.554,   1.236
    0.549,     1.250,  0.526,   1.340
    0.552,     1.245,  0.564,   1.198
    0.553,     1.245,  0.553,   1.260
    0.556,     1.235,  0.537,   1.307
    0.557,     1.235,  0.549,   1.263
    0.556,     1.234,  0.567,   1.201
    0.556,     1.231,  0.574,   1.186
    0.559,     1.227,  0.572,   1.194
    0.559,     1.222,  0.539,   1.313
    0.560,     1.221,  0.568,   1.201
    0.561,     1.219,  0.570,   1.180
    0.562,     1.216,  0.553,   1.251
    0.564,     1.217,  0.570,   1.220
    0.567,     1.208,  0.566,   1.214
    0.563,     1.212,  0.571,   1.209
    0.569,     1.205,  0.556,   1.269
    0.567,     1.206,  0.580,   1.181
    0.568,     1.205,  0.580,   1.188
    0.569,     1.199,  0.582,   1.173
    0.572,     1.199,  0.578,   1.190
    0.571,     1.198,  0.578,   1.178
    0.571,     1.196,  0.569,   1.216
    0.572,     1.195,  0.576,   1.202
    0.573,     1.194,  0.560,   1.266
    0.574,     1.192,  0.578,   1.222
    0.574,     1.189,  0.579,   1.195
    0.573,     1.189,  0.560,   1.263
    0.577,     1.186,  0.585,   1.160
    0.577,     1.185,  0.580,   1.203
    0.574,     1.185,  0.584,   1.188
    0.578,     1.180,  0.578,   1.189
    0.576,     1.182,  0.567,   1.218
    0.578,     1.182,  0.584,   1.191
    0.578,     1.181,  0.582,   1.172
    0.582,     1.175,  0.589,   1.164
    0.580,     1.177,  0.601,   1.134
    0.577,     1.177,  0.571,   1.240
    0.580,     1.173,  0.583,   1.170
    0.580,     1.173,  0.591,   1.171
    0.578,     1.174,  0.580,   1.183
    0.580,     1.173,  0.594,   1.143
    0.580,     1.173,  0.597,   1.138
    0.580,     1.175,  0.591,   1.171
    0.580,     1.170,  0.588,   1.150
    0.583,     1.166,  0.593,   1.158
    0.580,     1.167,  0.595,   1.144
    0.584,     1.166,  0.598,   1.138
    0.583,     1.165,  0.596,   1.137
    0.591,     1.143,  0.604,   1.106
    0.593,     1.138,  0.604,   1.113
    0.595,     1.137,  0.604,   1.105
    0.593,     1.136,  0.606,   1.105
    0.592,     1.136,  0.606,   1.116
    0.594,     1.135,  0.603,   1.110
    0.594,     1.134,  0.605,   1.105
    0.592,     1.137,  0.603,   1.106
    0.597,     1.133,  0.605,   1.107
    0.597,     1.132,  0.607,   1.104
    0.592,     1.141,  0.603,   1.106
    0.597,     1.135,  0.607,   1.106
    0.595,     1.132,  0.606,   1.108
    0.596,     1.133,  0.606,   1.100
    0.595,     1.134,  0.608,   1.105
    0.594,     1.134,  0.606,   1.103
    0.593,     1.135,  0.608,   1.106
    0.598,     1.132,  0.604,   1.108
    0.596,     1.130,  0.603,   1.104
    0.597,     1.129,  0.606,   1.103
    0.594,     1.134,  0.604,   1.106
    0.594,     1.131,  0.608,   1.107
    0.595,     1.134,  0.604,   1.106
    0.598,     1.128,  0.607,   1.098
    0.598,     1.132,  0.606,   1.111
    0.595,     1.130,  0.605,   1.098
    0.597,     1.128,  0.611,   1.108
    0.595,     1.129,  0.607,   1.106
    0.596,     1.128,  0.606,   1.100
    0.599,     1.129,  0.606,   1.103
    0.596,     1.131,  0.605,   1.108
    0.596,     1.130,  0.606,   1.111
    0.596,     1.128,  0.609,   1.102
    0.596,     1.133,  0.606,   1.101
    0.597,     1.134,  0.608,   1.105
    0.596,     1.131,  0.611,   1.098
    0.596,     1.131,  0.610,   1.095
    0.596,     1.131,  0.604,   1.107
    0.597,     1.129,  0.609,   1.099
    0.597,     1.128,  0.607,   1.097
    0.596,     1.124,  0.608,   1.097
    0.601,     1.122,  0.606,   1.097
    0.599,     1.124,  0.607,   1.098
    0.599,     1.127,  0.607,   1.096
    0.599,     1.124,  0.606,   1.098
    0.599,     1.122,  0.605,   1.100
    0.600,     1.124,  0.607,   1.095
    0.599,     1.125,  0.605,   1.098
    0.599,     1.124,  0.608,   1.096
    0.598,     1.123,  0.608,   1.098
    0.598,     1.126,  0.607,   1.098
    0.598,     1.123,  0.606,   1.097
    0.599,     1.125,  0.608,   1.095
    0.596,     1.127,  0.606,   1.097
    0.597,     1.126,  0.607,   1.096
    0.600,     1.122,  0.605,   1.099
    0.599,     1.122,  0.606,   1.098
    0.599,     1.124,  0.606,   1.097
    0.596,     1.126,  0.604,   1.099
    0.597,     1.124,  0.606,   1.099
    0.597,     1.126,  0.607,   1.097
    0.600,     1.121,  0.607,   1.097
    0.597,     1.124,  0.608,   1.096
    0.597,     1.124,  0.604,   1.098
    0.597,     1.126,  0.609,   1.097
    0.597,     1.127,  0.608,   1.097
    0.597,     1.126,  0.607,   1.094
    0.599,     1.124,  0.606,   1.097
    0.599,     1.123,  0.605,   1.096
    0.599,     1.124,  0.607,   1.097
    0.597,     1.122,  0.608,   1.092
    0.599,     1.121,  0.606,   1.097
    0.597,     1.124,  0.609,   1.095
    0.596,     1.128,  0.609,   1.097
    0.597,     1.125,  0.607,   1.095
    0.598,     1.125,  0.607,   1.095
    0.598,     1.128,  0.606,   1.097
    0.599,     1.124,  0.607,   1.097
    0.598,     1.122,  0.607,   1.098
    0.598,     1.122,  0.608,   1.094
