train_acc,train_loss,val_acc,val_loss
    0.100,     2.354,  0.098,   2.304
    0.101,     2.303,  0.098,   2.305
    0.102,     2.303,  0.098,   2.305
    0.103,     2.302,  0.098,   2.305
    0.104,     2.301,  0.098,   2.305
    0.124,     2.240,  0.162,   2.608
    0.342,     1.722,  0.398,   1.652
    0.491,     1.394,  0.569,   1.223
    0.623,     1.061,  0.660,   0.985
    0.709,     0.837,  0.681,   0.972
    0.750,     0.719,  0.671,   1.112
    0.778,     0.638,  0.722,   0.853
    0.800,     0.580,  0.754,   0.761
    0.818,     0.531,  0.769,   0.711
    0.828,     0.492,  0.757,   0.777
    0.842,     0.455,  0.800,   0.610
    0.851,     0.429,  0.810,   0.574
    0.861,     0.401,  0.808,   0.589
    0.869,     0.381,  0.806,   0.628
    0.876,     0.354,  0.824,   0.545
    0.884,     0.336,  0.828,   0.531
    0.887,     0.325,  0.833,   0.516
    0.893,     0.308,  0.813,   0.631
    0.897,     0.293,  0.837,   0.538
    0.902,     0.281,  0.860,   0.454
    0.909,     0.262,  0.840,   0.537
    0.914,     0.251,  0.854,   0.484
    0.916,     0.241,  0.852,   0.481
    0.918,     0.230,  0.846,   0.551
    0.921,     0.224,  0.839,   0.551
    0.928,     0.205,  0.858,   0.489
    0.928,     0.201,  0.848,   0.536
    0.930,     0.194,  0.844,   0.550
    0.933,     0.190,  0.858,   0.512
    0.939,     0.176,  0.843,   0.578
    0.940,     0.171,  0.856,   0.532
    0.943,     0.162,  0.860,   0.489
    0.947,     0.153,  0.862,   0.513
    0.946,     0.150,  0.844,   0.618
    0.947,     0.149,  0.857,   0.526
    0.951,     0.139,  0.851,   0.590
    0.953,     0.132,  0.854,   0.562
    0.955,     0.127,  0.858,   0.595
    0.956,     0.125,  0.862,   0.535
    0.956,     0.121,  0.863,   0.573
    0.958,     0.117,  0.863,   0.563
    0.962,     0.111,  0.861,   0.578
    0.961,     0.110,  0.846,   0.679
    0.963,     0.103,  0.865,   0.575
    0.964,     0.101,  0.854,   0.640
    0.964,     0.099,  0.864,   0.612
    0.968,     0.091,  0.871,   0.585
    0.968,     0.091,  0.871,   0.553
    0.971,     0.082,  0.863,   0.603
    0.969,     0.088,  0.875,   0.534
    0.973,     0.077,  0.871,   0.604
    0.972,     0.078,  0.865,   0.575
    0.972,     0.076,  0.860,   0.642
    0.972,     0.079,  0.865,   0.678
    0.974,     0.075,  0.879,   0.554
    0.976,     0.068,  0.882,   0.588
    0.976,     0.070,  0.863,   0.704
    0.976,     0.067,  0.888,   0.547
    0.979,     0.062,  0.874,   0.624
    0.980,     0.057,  0.868,   0.636
    0.979,     0.059,  0.872,   0.649
    0.980,     0.056,  0.883,   0.601
    0.979,     0.058,  0.872,   0.691
    0.981,     0.055,  0.881,   0.584
    0.980,     0.057,  0.876,   0.634
    0.981,     0.055,  0.881,   0.610
    0.983,     0.049,  0.886,   0.583
    0.984,     0.045,  0.878,   0.628
    0.984,     0.047,  0.888,   0.620
    0.983,     0.049,  0.880,   0.645
    0.984,     0.047,  0.880,   0.595
    0.985,     0.044,  0.865,   0.801
    0.984,     0.046,  0.885,   0.639
    0.986,     0.040,  0.880,   0.655
    0.984,     0.047,  0.884,   0.629
    0.991,     0.028,  0.896,   0.524
    0.995,     0.016,  0.899,   0.519
    0.996,     0.014,  0.899,   0.517
    0.997,     0.011,  0.901,   0.516
    0.997,     0.011,  0.899,   0.519
    0.997,     0.010,  0.901,   0.528
    0.998,     0.008,  0.900,   0.523
    0.998,     0.007,  0.899,   0.535
    0.998,     0.007,  0.901,   0.536
    0.998,     0.007,  0.900,   0.531
    0.998,     0.007,  0.900,   0.533
    0.998,     0.007,  0.901,   0.541
    0.998,     0.006,  0.901,   0.545
    0.998,     0.006,  0.901,   0.551
    0.999,     0.005,  0.901,   0.560
    0.999,     0.005,  0.901,   0.551
    0.999,     0.005,  0.901,   0.552
    0.999,     0.006,  0.901,   0.559
    0.999,     0.005,  0.901,   0.568
    0.999,     0.005,  0.901,   0.563
    0.999,     0.004,  0.901,   0.567
    0.999,     0.004,  0.900,   0.574
    0.999,     0.005,  0.900,   0.572
    0.999,     0.005,  0.901,   0.576
    0.999,     0.005,  0.900,   0.574
    0.999,     0.004,  0.902,   0.569
    0.999,     0.004,  0.900,   0.566
    0.999,     0.004,  0.903,   0.573
    0.999,     0.004,  0.901,   0.575
    0.999,     0.004,  0.900,   0.582
    0.999,     0.004,  0.901,   0.585
    0.999,     0.004,  0.902,   0.584
    0.999,     0.003,  0.901,   0.587
    0.999,     0.003,  0.902,   0.587
    0.999,     0.003,  0.902,   0.588
    0.999,     0.003,  0.902,   0.586
    0.999,     0.003,  0.901,   0.585
    0.999,     0.003,  0.905,   0.590
    1.000,     0.003,  0.901,   0.594
    0.999,     0.003,  0.903,   0.595
    0.999,     0.003,  0.904,   0.591
    0.999,     0.003,  0.904,   0.594
    1.000,     0.003,  0.904,   0.594
    0.999,     0.003,  0.904,   0.593
    1.000,     0.003,  0.904,   0.596
    1.000,     0.003,  0.904,   0.597
    0.999,     0.003,  0.904,   0.591
    1.000,     0.003,  0.904,   0.590
    0.999,     0.003,  0.905,   0.593
    0.999,     0.003,  0.904,   0.594
    0.999,     0.003,  0.903,   0.594
    0.999,     0.003,  0.904,   0.593
    1.000,     0.002,  0.904,   0.591
    0.999,     0.002,  0.904,   0.593
    0.999,     0.003,  0.904,   0.598
    0.999,     0.003,  0.904,   0.592
    1.000,     0.002,  0.904,   0.595
    1.000,     0.002,  0.904,   0.598
    0.999,     0.003,  0.905,   0.595
    0.999,     0.002,  0.904,   0.598
    1.000,     0.003,  0.904,   0.593
    1.000,     0.002,  0.904,   0.596
    1.000,     0.002,  0.904,   0.595
    1.000,     0.002,  0.904,   0.598
    1.000,     0.002,  0.904,   0.593
    0.999,     0.002,  0.904,   0.595
    1.000,     0.002,  0.903,   0.597
    0.999,     0.003,  0.904,   0.597
    0.999,     0.002,  0.904,   0.594
    1.000,     0.002,  0.904,   0.600
    1.000,     0.002,  0.904,   0.598
    1.000,     0.002,  0.904,   0.599
    1.000,     0.002,  0.904,   0.599
    1.000,     0.002,  0.900,   0.600
    0.999,     0.003,  0.904,   0.601
    1.000,     0.002,  0.904,   0.600
    0.999,     0.003,  0.905,   0.597
    0.999,     0.002,  0.905,   0.597
    1.000,     0.002,  0.905,   0.599
    1.000,     0.002,  0.904,   0.599
