Begun training at epoch 1.
Epoch 1/100 : train_acc:0.040, train_loss:4.277, val_acc:0.070, val_loss:0.070 (68.02171277999878s, ETA:1.8894920216666329h)
Epoch 2/100 : train_acc:0.082, train_loss:3.957, val_acc:0.100, val_loss:0.100 (65.97901749610901s, ETA:1.8144229811429977h)
Epoch 3/100 : train_acc:0.111, train_loss:3.787, val_acc:0.106, val_loss:0.106 (66.02538084983826s, ETA:1.7973575898011525h)
Epoch 4/100 : train_acc:0.138, train_loss:3.632, val_acc:0.166, val_loss:0.166 (65.94004130363464s, ETA:1.7767177795701556h)
Epoch 5/100 : train_acc:0.160, train_loss:3.512, val_acc:0.161, val_loss:0.161 (66.06611108779907s, ETA:1.7617629623413085h)
Epoch 6/100 : train_acc:0.180, train_loss:3.406, val_acc:0.174, val_loss:0.174 (66.10119104385376s, ETA:1.7443369858794742h)
Epoch 7/100 : train_acc:0.197, train_loss:3.303, val_acc:0.220, val_loss:0.220 (65.69539976119995s, ETA:1.7153798826535542h)
Epoch 8/100 : train_acc:0.213, train_loss:3.216, val_acc:0.202, val_loss:0.202 (66.14245247840881s, ETA:1.7086800223588943h)
Epoch 9/100 : train_acc:0.227, train_loss:3.141, val_acc:0.240, val_loss:0.240 (66.12751317024231s, ETA:1.689925336572859h)
Epoch 10/100 : train_acc:0.244, train_loss:3.047, val_acc:0.251, val_loss:0.251 (65.68619155883789s, ETA:1.6604009532928468h)
Epoch 11/100 : train_acc:0.257, train_loss:2.986, val_acc:0.236, val_loss:0.236 (65.84381031990051s, ETA:1.6460952579975128h)
Epoch 12/100 : train_acc:0.271, train_loss:2.911, val_acc:0.303, val_loss:0.303 (65.84928035736084s, ETA:1.6279405421680875h)
Epoch 13/100 : train_acc:0.282, train_loss:2.834, val_acc:0.280, val_loss:0.280 (66.13487362861633s, ETA:1.616630244255066h)
Epoch 14/100 : train_acc:0.291, train_loss:2.789, val_acc:0.288, val_loss:0.288 (65.74665260314941s, ETA:1.5888774379094444h)
Epoch 15/100 : train_acc:0.307, train_loss:2.703, val_acc:0.341, val_loss:0.341 (66.07882475852966s, ETA:1.5785497025648751h)
Epoch 16/100 : train_acc:0.318, train_loss:2.650, val_acc:0.310, val_loss:0.310 (66.12677550315857s, ETA:1.5613266438245774h)
Epoch 17/100 : train_acc:0.326, train_loss:2.610, val_acc:0.346, val_loss:0.346 (65.85311579704285s, ETA:1.5365727019309998h)
Epoch 18/100 : train_acc:0.341, train_loss:2.544, val_acc:0.355, val_loss:0.355 (65.79881191253662s, ETA:1.5170281635390388h)
Epoch 19/100 : train_acc:0.348, train_loss:2.507, val_acc:0.337, val_loss:0.337 (65.99041080474854s, ETA:1.5031149127748276h)
Epoch 20/100 : train_acc:0.358, train_loss:2.463, val_acc:0.377, val_loss:0.377 (66.50118160247803s, ETA:1.4962765860557556h)
Epoch 21/100 : train_acc:0.363, train_loss:2.421, val_acc:0.333, val_loss:0.333 (65.83511543273926s, ETA:1.4630025651719836h)
Epoch 22/100 : train_acc:0.368, train_loss:2.406, val_acc:0.362, val_loss:0.362 (66.07397508621216s, ETA:1.4499566755029891h)
Epoch 23/100 : train_acc:0.376, train_loss:2.356, val_acc:0.398, val_loss:0.398 (65.92149949073792s, ETA:1.4282991556326547h)
Epoch 24/100 : train_acc:0.383, train_loss:2.330, val_acc:0.366, val_loss:0.366 (65.75753951072693s, ETA:1.4064807062016593h)
Epoch 25/100 : train_acc:0.385, train_loss:2.317, val_acc:0.403, val_loss:0.403 (66.07985925674438s, ETA:1.3950192509757147h)
Epoch 26/100 : train_acc:0.394, train_loss:2.279, val_acc:0.398, val_loss:0.398 (65.8249192237854s, ETA:1.3713524838288624h)
Epoch 27/100 : train_acc:0.399, train_loss:2.263, val_acc:0.364, val_loss:0.364 (65.87313508987427s, ETA:1.3540588879585267h)
Epoch 28/100 : train_acc:0.404, train_loss:2.232, val_acc:0.432, val_loss:0.432 (65.91325569152832s, ETA:1.3365743515226576h)
Epoch 29/100 : train_acc:0.409, train_loss:2.212, val_acc:0.382, val_loss:0.382 (65.81206154823303s, ETA:1.3162412309646607h)
Epoch 30/100 : train_acc:0.406, train_loss:2.214, val_acc:0.390, val_loss:0.390 (65.7947268486023s, ETA:1.2976182239585452h)
Epoch 31/100 : train_acc:0.417, train_loss:2.169, val_acc:0.439, val_loss:0.439 (65.68558144569397s, ETA:1.2772196392218271h)
Epoch 32/100 : train_acc:0.422, train_loss:2.151, val_acc:0.366, val_loss:0.366 (65.84709811210632s, ETA:1.262069380482038h)
Epoch 33/100 : train_acc:0.422, train_loss:2.145, val_acc:0.423, val_loss:0.423 (66.2122392654419s, ETA:1.250675630569458h)
Epoch 34/100 : train_acc:0.434, train_loss:2.103, val_acc:0.422, val_loss:0.422 (65.92696833610535s, ETA:1.2269741329219606h)
Epoch 35/100 : train_acc:0.431, train_loss:2.106, val_acc:0.377, val_loss:0.377 (65.95324873924255s, ETA:1.2091428935527802h)
Epoch 36/100 : train_acc:0.439, train_loss:2.081, val_acc:0.441, val_loss:0.441 (66.2110903263092s, ETA:1.195478019780583h)
Epoch 37/100 : train_acc:0.442, train_loss:2.063, val_acc:0.404, val_loss:0.404 (65.67699122428894s, ETA:1.16759095509847h)
Epoch 38/100 : train_acc:0.440, train_loss:2.066, val_acc:0.413, val_loss:0.413 (66.14634156227112s, ETA:1.1575609773397446h)
Epoch 39/100 : train_acc:0.447, train_loss:2.034, val_acc:0.457, val_loss:0.457 (65.63043165206909s, ETA:1.130301878452301h)
Epoch 40/100 : train_acc:0.451, train_loss:2.022, val_acc:0.398, val_loss:0.398 (65.83062386512756s, ETA:1.1154633488257726h)
Epoch 41/100 : train_acc:0.451, train_loss:2.020, val_acc:0.443, val_loss:0.443 (65.71808075904846s, ETA:1.095301345984141h)
Epoch 42/100 : train_acc:0.461, train_loss:1.987, val_acc:0.456, val_loss:0.456 (65.93144106864929s, ETA:1.0805430619584189h)
Epoch 43/100 : train_acc:0.459, train_loss:1.988, val_acc:0.416, val_loss:0.416 (65.7039737701416s, ETA:1.0585640218522814h)
Epoch 44/100 : train_acc:0.464, train_loss:1.969, val_acc:0.454, val_loss:0.454 (65.82969379425049s, ETA:1.0423034850756328h)
Epoch 45/100 : train_acc:0.468, train_loss:1.950, val_acc:0.421, val_loss:0.421 (65.63343834877014s, ETA:1.0209645965364245h)
Epoch 46/100 : train_acc:0.469, train_loss:1.954, val_acc:0.432, val_loss:0.432 (65.63897585868835s, ETA:1.002817686729961h)
Epoch 47/100 : train_acc:0.469, train_loss:1.929, val_acc:0.466, val_loss:0.466 (65.93144297599792s, ETA:0.9889716446399689h)
Epoch 48/100 : train_acc:0.473, train_loss:1.922, val_acc:0.395, val_loss:0.395 (65.920485496521s, ETA:0.9704960364765591h)
Epoch 49/100 : train_acc:0.476, train_loss:1.915, val_acc:0.446, val_loss:0.446 (65.99860119819641s, ETA:0.9533131284183926h)
