train_acc,train_loss,val_acc,val_loss
    0.301,     1.896,  0.398,   1.721
    0.492,     1.388,  0.550,   1.267
    0.608,     1.092,  0.629,   1.057
    0.686,     0.891,  0.651,   1.018
    0.732,     0.764,  0.729,   0.778
    0.762,     0.681,  0.691,   0.928
    0.782,     0.623,  0.747,   0.776
    0.801,     0.571,  0.758,   0.730
    0.815,     0.532,  0.793,   0.632
    0.828,     0.496,  0.783,   0.684
    0.838,     0.465,  0.807,   0.595
    0.845,     0.443,  0.778,   0.699
    0.857,     0.416,  0.793,   0.651
    0.861,     0.401,  0.801,   0.604
    0.866,     0.381,  0.801,   0.619
    0.873,     0.364,  0.813,   0.604
    0.880,     0.348,  0.811,   0.593
    0.881,     0.332,  0.846,   0.482
    0.885,     0.328,  0.824,   0.573
    0.893,     0.310,  0.843,   0.496
    0.894,     0.301,  0.811,   0.612
    0.897,     0.292,  0.818,   0.601
    0.899,     0.287,  0.836,   0.549
    0.903,     0.274,  0.840,   0.535
    0.906,     0.269,  0.848,   0.525
    0.908,     0.260,  0.848,   0.500
    0.909,     0.260,  0.832,   0.586
    0.914,     0.248,  0.842,   0.532
    0.914,     0.246,  0.860,   0.452
    0.914,     0.246,  0.838,   0.558
    0.917,     0.235,  0.861,   0.480
    0.919,     0.228,  0.868,   0.471
    0.921,     0.225,  0.870,   0.436
    0.923,     0.223,  0.845,   0.520
    0.925,     0.216,  0.865,   0.469
    0.924,     0.217,  0.852,   0.510
    0.926,     0.210,  0.841,   0.556
    0.929,     0.203,  0.859,   0.460
    0.929,     0.203,  0.863,   0.472
    0.929,     0.202,  0.869,   0.432
    0.931,     0.197,  0.866,   0.455
    0.933,     0.193,  0.851,   0.513
    0.931,     0.195,  0.820,   0.671
    0.934,     0.190,  0.862,   0.469
    0.936,     0.182,  0.827,   0.618
    0.935,     0.186,  0.873,   0.441
    0.937,     0.180,  0.869,   0.469
    0.937,     0.178,  0.865,   0.502
    0.935,     0.185,  0.855,   0.491
    0.940,     0.170,  0.859,   0.520
    0.939,     0.174,  0.858,   0.544
    0.941,     0.167,  0.868,   0.460
    0.941,     0.166,  0.874,   0.436
    0.940,     0.167,  0.871,   0.434
    0.942,     0.165,  0.872,   0.455
    0.940,     0.168,  0.872,   0.489
    0.942,     0.166,  0.873,   0.460
    0.942,     0.163,  0.853,   0.521
    0.945,     0.156,  0.860,   0.549
    0.943,     0.161,  0.856,   0.526
    0.945,     0.157,  0.861,   0.520
    0.946,     0.152,  0.838,   0.661
    0.944,     0.161,  0.876,   0.436
